cnae,p49100_h1,p40800_h1,p40100_mas_40500_h1,p31200_h1,p32300_h1,p10000_h1,p20000_h1,target_status
6419,0.0,0.0,1341987.0,0.0,0.0,56515916.0,5395803.0,0
4771,158216.512,-14922.491999999998,1271828.1830000002,28.167,5233.806,776568.21,161537.485,0
4619,77511.0,-72217.0,1384618.0,7678.0,85.0,1759263.0,496106.0,0
6420,206944.0,-92314.0,1404827.0,920387.0,258164.0,2915734.0,1337922.0,0
6511,0.0,0.0,1198246.0,0.0,0.0,6468896.0,1034534.0,0
6512,0.0,0.0,1353300.0,0.0,0.0,2930415.0,954875.0,0
4759,141835.0,-46067.0,1336822.0,6629.0,3207.0,1020678.0,333407.0,0
7490,61242.0,-9.0,1386557.0,0.0,0.0,196053.0,61398.0,1
3522,610517.0,-271516.0,1217516.0,4888749.0,1194239.0,9247967.0,2462936.0,0
4621,-1021.0,-9543.0,1274923.0,141.0,40914.0,637666.0,203947.0,0
4222,46176.0,-5840.0,1190696.0,307191.0,90554.0,1872450.0,537585.0,0
6810,-1745544.0,-48982.0,1224452.0,13514.0,0.0,12257928.0,2718545.0,0
6511,0.0,0.0,1311953.0,0.0,0.0,5842468.0,1469315.0,0
3523,-13818.0,0.0,1290722.0,757.0,0.0,308714.0,3945.0,0
6190,-40546.0,-41204.0,405107.0,513755.0,116398.0,1862826.0,255605.0,0
6420,194390.0,-67387.0,1207828.0,11008.0,29877.0,1535760.0,1218506.0,0
6420,727958.0,-37150.0,1182887.0,2649329.0,225974.0,9148503.0,4194095.0,0
4671,2436.26016,-319.92118999999997,1250839.0783600002,0.0,118117.65705,293450.31866,40252.850490000004,0
8211,113412.114,-37826.941,1243102.857,147365.25,58689.638,1019547.584,597519.183,0
4511,3653.0,-1572.0,1321564.0,0.0,0.0,311297.0,15827.0,0
4646,3028.0,-7124.0,1276617.0,73348.0,173781.0,453470.0,71260.0,0
6612,26201.0,0.0,1307823.0,133493.0,88997.0,746584.0,184349.0,0
4211,60286.0,-11715.0,1354343.0,143113.0,418964.0,2628965.0,601413.0,0
3514,16754.0,-2315.0,1452576.0,888.0,2730.0,178750.0,55143.0,0
6920,40281.0,-40149.0,1299173.0,11462.0,1635.0,1228719.0,966582.0,0
6420,24087.0,-4165.0,1301807.0,0.0,34037.0,407222.0,81729.0,0
2444,1282.001,-1546.7040000000002,986824.73,7985.059,4755.648,78752.423,17486.213,0
6512,0.0,0.0,1238628.0,0.0,0.0,815944.0,351402.0,0
6420,95478.805,0.0,251528.758,0.0,7.9110000000000005,800511.119,643947.581,0
4671,4139.0,-22440.0,1102063.0,40623.0,8740.0,334096.0,204661.0,0
3514,6879.91909,-731.14761,892341.23142,19323.746509999997,4422.8196499999995,242152.38796999998,17878.6715,0
4672,7648.093,-30.179,993155.352,0.0,64295.644,182110.916,7308.293,0
3513,1288356.0,0.0,1288500.0,0.0,0.0,3099110.0,3099071.0,0
4646,15989.0,-3119.0,1313373.0,0.0,32645.0,357635.0,66626.0,0
4642,102887.358,-12611.678,1259673.5880000002,3093.374,6399.413,720171.138,350007.065,0
1105,175262.6,-87663.683,1232164.897,56434.078,21176.855,1597556.1020000002,1275743.2910000002,0
6512,0.0,0.0,1296149.0,0.0,0.0,6958414.0,4506804.0,0
6511,0.0,0.0,1212085.0,0.0,0.0,3088682.0,766109.0,0
4212,-66712.0,-436719.0,1263559.0,577666.0,259946.0,16309240.0,11481592.0,0
4212,-72125.0,-435887.0,1259741.0,562736.0,257677.0,16255645.0,11447629.0,0
2110,102279.0,-10196.0,584482.0,3475.0,0.0,2552781.0,2028112.0,0
6511,0.0,0.0,1212189.0,0.0,0.0,3557988.0,1238613.0,0
2016,32510.0,-31459.0,1109793.0,4936.0,1225.0,444068.0,208786.0,0
4639,23005.045,-17210.375,1235903.0860000001,5445.1089999999995,1469.945,705875.291,59258.164000000004,0
4642,116327.19499999999,-21886.862,1239129.554,21624.664999999997,10851.688,823267.619,424178.605,0
6419,0.0,0.0,1214329.0,0.0,0.0,57175874.0,2976760.0,0
4651,8838.0,-6573.0,1073918.0,23049.0,40650.0,500192.0,85801.0,0
6420,41474.0,-54888.0,1194790.0,210529.0,65311.0,851933.0,211225.0,0
3517,-376568.0,-439956.0,952068.0,1369.0,22093.0,4234626.0,1847744.0,0
6820,212870.0,-2909.0,274457.0,3287487.0,407476.0,8227651.0,4007919.0,0
